"United States - US Consumer Price Index - CPI-U all items 1982-1984=100, not seasonally adjusted"
"Year","Period","Consumer Price Index","Over-the-Year Percent Change","Over-the-Month Percent Change"
"1938","July","14.1","-2.8%","0.0%"
"1938","June","14.1","-2.1%","0.0%"
"1938","May","14.1","-2.1%","-0.7%"
"1938","April","14.2","-0.7%","0.7%"
"1938","March","14.1","-0.7%","0.0%"
"1938","February","14.1","0.0%","-0.7%"
"1938","January","14.2","0.7%","-1.4%"
"1937","December","14.4","2.9%","-0.7%"
"1937","November","14.5","3.6%","-0.7%"
"1937","October","14.6","4.3%","0.0%"
"1937","September","14.6","4.3%","0.7%"
"1937","August","14.5","3.6%","0.0%"
"1937","July","14.5","4.3%","0.7%"
"1937","June","14.4","4.3%","0.0%"
"1937","May","14.4","5.1%","0.7%"
"1937","April","14.3","4.4%","0.7%"
"1937","March","14.2","3.6%","0.7%"
"1937","February","14.1","2.2%","0.0%"
"1937","January","14.1","2.2%","0.7%"
"1936","December","14.0","1.4%","0.0%"
"1936","November","14.0","1.4%","0.0%"
"1936","October","14.0","2.2%","0.0%"
"1936","September","14.0","2.2%","0.0%"
"1936","August","14.0","2.2%","0.7%"
"1936","July","13.9","1.5%","0.7%"
"1936","June","13.8","0.7%","0.7%"
"1936","May","13.7","-0.7%","0.0%"
"1936","April","13.7","-0.7%","0.0%"
"1936","March","13.7","0.0%","-0.7%"
"1936","February","13.8","0.7%","0.0%"
"1936","January","13.8","1.5%","0.0%"
"1935","December","13.8","3.0%","0.0%"
"1935","November","13.8","2.2%","0.7%"
"1935","October","13.7","1.5%","0.0%"
"1935","September","13.7","0.7%","0.0%"
"1935","August","13.7","2.2%","0.0%"
"1935","July","13.7","2.2%","0.0%"
"1935","June","13.7","2.2%","-0.7%"
"1935","May","13.8","3.8%","0.0%"
"1935","April","13.8","3.8%","0.7%"
"1935","March","13.7","3.0%","0.0%"
"1935","February","13.7","3.0%","0.7%"
"1935","January","13.6","3.0%","1.5%"
"1934","December","13.4","1.5%","-0.7%"
"1934","November","13.5","2.3%","0.0%"
"1934","October","13.5","2.3%","-0.7%"
"1934","September","13.6","3.0%","1.5%"
"1934","August","13.4","1.5%","0.0%"
"1934","July","13.4","2.3%","0.0%"
"1934","June","13.4","5.5%","0.8%"
"1934","May","13.3","5.6%","0.0%"
"1934","April","13.3","5.6%","0.0%"
"1934","March","13.3","5.6%","0.0%"
"1934","February","13.3","4.7%","0.8%"
"1934","January","13.2","2.3%","0.0%"
"1933","December","13.2","0.8%","0.0%"
"1933","November","13.2","0.0%","0.0%"
"1933","October","13.2","-0.8%","0.0%"
"1933","September","13.2","-1.5%","0.0%"
"1933","August","13.2","-2.2%","0.8%"
"1933","July","13.1","-3.7%","3.1%"
"1933","June","12.7","-6.6%","0.8%"
"1933","May","12.6","-8.0%","0.0%"
"1933","April","12.6","-9.4%","0.0%"
"1933","March","12.6","-10.0%","-0.8%"
"1933","February","12.7","-9.9%","-1.6%"
"1933","January","12.9","-9.8%","-1.5%"
"1932","December","13.1","-10.3%","-0.8%"
"1932","November","13.2","-10.2%","-0.8%"
"1932","October","13.3","-10.7%","-0.7%"
"1932","September","13.4","-10.7%","-0.7%"
"1932","August","13.5","-10.6%","-0.7%"
"1932","July","13.6","-9.9%","0.0%"
"1932","June","13.6","-9.9%","-0.7%"
"1932","May","13.7","-10.5%","-1.4%"
"1932","April","13.9","-10.3%","-0.7%"
"1932","March","14.0","-10.3%","-0.7%"
"1932","February","14.1","-10.2%","-1.4%"
"1932","January","14.3","-10.1%","-2.1%"
"1931","December","14.6","-9.3%","-0.7%"
"1931","November","14.7","-10.4%","-1.3%"
"1931","October","14.9","-9.7%","-0.7%"
"1931","September","15.0","-9.6%","-0.7%"
"1931","August","15.1","-8.5%","0.0%"
"1931","July","15.1","-9.0%","0.0%"
"1931","June","15.1","-10.1%","-1.3%"
"1931","May","15.3","-9.5%","-1.3%"
"1931","April","15.5","-8.8%","-0.6%"
"1931","March","15.6","-7.7%","-0.6%"
"1931","February","15.7","-7.6%","-1.3%"
"1931","January","15.9","-7.0%","-1.2%"
"1930","December","16.1","-6.4%","-1.8%"
"1930","November","16.4","-5.2%","-0.6%"
"1930","October","16.5","-4.6%","-0.6%"
"1930","September","16.6","-4.0%","0.6%"
"1930","August","16.5","-4.6%","-0.6%"
"1930","July","16.6","-4.0%","-1.2%"
"1930","June","16.8","-1.8%","-0.6%"
"1930","May","16.9","-0.6%","-0.6%"
"1930","April","17.0","0.6%","0.6%"
"1930","March","16.9","-0.6%","-0.6%"
"1930","February","17.0","-0.6%","-0.6%"
"1930","January","17.1","0.0%","-0.6%"
"1929","December","17.2","0.6%","-0.6%"
"1929","November","17.3","0.6%","0.0%"
"1929","October","17.3","0.6%","0.0%"
"1929","September","17.3","0.0%","0.0%"
"1929","August","17.3","1.2%","0.0%"
"1929","July","17.3","1.2%","1.2%"
"1929","June","17.1","0.0%","0.6%"
"1929","May","17.0","-1.2%","0.6%"
"1929","April","16.9","-1.2%","-0.6%"
"1929","March","17.0","-0.6%","-0.6%"
"1929","February","17.1","0.0%","0.0%"
"1929","January","17.1","-1.2%","0.0%"
"1928","December","17.1","-1.2%","-0.6%"
"1928","November","17.2","-0.6%","0.0%"
"1928","October","17.2","-1.1%","-0.6%"
"1928","September","17.3","0.0%","1.2%"
"1928","August","17.1","-0.6%","0.0%"
"1928","July","17.1","-1.2%","0.0%"
"1928","June","17.1","-2.8%","-0.6%"
"1928","May","17.2","-1.1%","0.6%"
"1928","April","17.1","-1.2%","0.0%"
"1928","March","17.1","-1.2%","0.0%"
"1928","February","17.1","-1.7%","-1.2%"
"1928","January","17.3","-1.1%","0.0%"
"1927","December","17.3","-2.3%","0.0%"
"1927","November","17.3","-2.3%","-0.6%"
"1927","October","17.4","-1.1%","0.6%"
"1927","September","17.3","-1.1%","0.6%"
"1927","August","17.2","-1.1%","-0.6%"
"1927","July","17.3","-1.1%","-1.7%"
"1927","June","17.6","-0.6%","1.1%"
"1927","May","17.4","-2.2%","0.6%"
"1927","April","17.3","-3.4%","0.0%"
"1927","March","17.3","-2.8%","-0.6%"
"1927","February","17.4","-2.8%","-0.6%"
"1927","January","17.5","-2.2%","-1.1%"
"1926","December","17.7","-1.1%","0.0%"
"1926","November","17.7","-1.7%","0.6%"
"1926","October","17.6","-0.6%","0.6%"
"1926","September","17.5","-1.1%","0.6%"
"1926","August","17.4","-1.7%","-0.6%"
"1926","July","17.5","-1.1%","-1.1%"
"1926","June","17.7","1.1%","-0.6%"
"1926","May","17.8","2.9%","-0.6%"
"1926","April","17.9","4.1%","0.6%"
"1926","March","17.8","2.9%","-0.6%"
"1926","February","17.9","4.1%","0.0%"
"1926","January","17.9","3.5%","0.0%"
"1925","December","17.9","3.5%","-0.6%"
"1925","November","18.0","4.7%","1.7%"
"1925","October","17.7","2.9%","0.0%"
"1925","September","17.7","3.5%","0.0%"
"1925","August","17.7","4.1%","0.0%"
"1925","July","17.7","3.5%","1.1%"
"1925","June","17.5","2.9%","1.2%"
"1925","May","17.3","1.8%","0.6%"
"1925","April","17.2","1.2%","-0.6%"
"1925","March","17.3","1.2%","0.6%"
"1925","February","17.2","0.0%","-0.6%"
"1925","January","17.3","0.0%","0.0%"
"1924","December","17.3","0.0%","0.6%"
"1924","November","17.2","-0.6%","0.0%"
"1924","October","17.2","-0.6%","0.6%"
"1924","September","17.1","-0.6%","0.6%"
"1924","August","17.0","-0.6%","-0.6%"
"1924","July","17.1","-0.6%","0.6%"
"1924","June","17.0","0.0%","0.0%"
"1924","May","17.0","0.6%","0.0%"
"1924","April","17.0","0.6%","-0.6%"
"1924","March","17.1","1.8%","-0.6%"
"1924","February","17.2","2.4%","-0.6%"
"1924","January","17.3","3.0%","0.0%"
"1923","December","17.3","2.4%","0.0%"
"1923","November","17.3","3.0%","0.0%"
"1923","October","17.3","3.6%","0.6%"
"1923","September","17.2","3.6%","0.6%"
"1923","August","17.1","3.0%","-0.6%"
"1923","July","17.2","2.4%","1.2%"
"1923","June","17.0","1.8%","0.6%"
"1923","May","16.9","1.2%","0.0%"
"1923","April","16.9","1.2%","0.6%"
"1923","March","16.8","0.6%","0.0%"
"1923","February","16.8","-0.6%","0.0%"
"1923","January","16.8","-0.6%","-0.6%"
"1922","December","16.9","-2.3%","0.6%"
"1922","November","16.8","-3.4%","0.6%"
"1922","October","16.7","-4.6%","0.6%"
"1922","September","16.6","-5.1%","0.0%"
"1922","August","16.6","-6.2%","-1.2%"
"1922","July","16.8","-5.1%","0.6%"
"1922","June","16.7","-5.1%","0.0%"
"1922","May","16.7","-5.6%","0.0%"
"1922","April","16.7","-7.7%","0.0%"
"1922","March","16.7","-8.7%","-1.2%"
"1922","February","16.9","-8.2%","0.0%"
"1922","January","16.9","-11.1%","-2.3%"
"1921","December","17.3","-10.8%","-0.6%"
"1921","November","17.4","-12.1%","-0.6%"
"1921","October","17.5","-12.1%","0.0%"
"1921","September","17.5","-12.5%","-1.1%"
"1921","August","17.7","-12.8%","0.0%"
"1921","July","17.7","-14.9%","0.6%"
"1921","June","17.6","-15.8%","-0.6%"
"1921","May","17.7","-14.1%","-2.2%"
"1921","April","18.1","-10.8%","-1.1%"
"1921","March","18.3","-7.1%","-0.5%"
"1921","February","18.4","-5.6%","-3.2%"
"1921","January","19.0","-1.6%","-2.1%"
"1920","December","19.4","2.6%","-2.0%"
"1920","November","19.8","7.0%","-0.5%"
"1920","October","19.9","9.9%","-0.5%"
"1920","September","20.0","12.4%","-1.5%"
"1920","August","20.3","14.7%","-2.4%"
"1920","July","20.8","19.5%","-0.5%"
"1920","June","20.9","23.7%","1.5%"
"1920","May","20.6","21.9%","1.5%"
"1920","April","20.3","21.6%","3.0%"
"1920","March","19.7","20.1%","1.0%"
"1920","February","19.5","20.4%","1.0%"
"1920","January","19.3","17.0%","2.1%"
"1919","December","18.9","14.5%","2.2%"
"1919","November","18.5","13.5%","2.2%"
"1919","October","18.1","13.1%","1.7%"
"1919","September","17.8","13.4%","0.6%"
"1919","August","17.7","14.9%","1.7%"
"1919","July","17.4","15.2%","3.0%"
"1919","June","16.9","15.0%","0.0%"
"1919","May","16.9","16.6%","1.2%"
"1919","April","16.7","17.6%","1.8%"
"1919","March","16.4","17.1%","1.2%"
"1919","February","16.2","14.9%","-1.8%"
"1919","January","16.5","17.9%","0.0%"
"1918","December","16.5","20.4%","1.2%"
"1918","November","16.3","20.7%","1.9%"
"1918","October","16.0","18.5%","1.9%"
"1918","September","15.7","18.0%","1.9%"
"1918","August","15.4","18.5%","2.0%"
"1918","July","15.1","18.0%","2.7%"
"1918","June","14.7","13.1%","1.4%"
"1918","May","14.5","13.3%","2.1%"
"1918","April","14.2","12.7%","1.4%"
"1918","March","14.0","16.7%","-0.7%"
"1918","February","14.1","17.5%","0.7%"
"1918","January","14.0","19.7%","2.2%"
"1917","December","13.7","18.1%","1.5%"
"1917","November","13.5","17.4%","0.0%"
"1917","October","13.5","19.5%","1.5%"
"1917","September","13.3","19.8%","2.3%"
"1917","August","13.0","19.3%","1.6%"
"1917","July","12.8","18.5%","-1.5%"
"1917","June","13.0","20.4%","1.6%"
"1917","May","12.8","19.6%","1.6%"
"1917","April","12.6","18.9%","5.0%"
"1917","March","12.0","14.3%","0.0%"
"1917","February","12.0","15.4%","2.6%"
"1917","January","11.7","12.5%","0.9%"
"1916","December","11.6","12.6%","0.9%"
"1916","November","11.5","11.7%","1.8%"
"1916","October","11.3","10.8%","1.8%"
"1916","September","11.1","9.9%","1.8%"
"1916","August","10.9","7.9%","0.9%"
"1916","July","10.8","6.9%","0.0%"
"1916","June","10.8","6.9%","0.9%"
"1916","May","10.7","5.9%","0.9%"
"1916","April","10.6","6.0%","1.0%"
"1916","March","10.5","6.1%","1.0%"
"1916","February","10.4","4.0%","0.0%"
"1916","January","10.4","3.0%","1.0%"
"1915","December","10.3","2.0%","0.0%"
"1915","November","10.3","1.0%","1.0%"
"1915","October","10.2","1.0%","1.0%"
"1915","September","10.1","-1.0%","0.0%"
"1915","August","10.1","-1.0%","0.0%"
"1915","July","10.1","1.0%","0.0%"
"1915","June","10.1","2.0%","0.0%"
"1915","May","10.1","2.0%","1.0%"
"1915","April","10.0","2.0%","1.0%"
"1915","March","9.9","0.0%","-1.0%"
"1915","February","10.0","1.0%","-1.0%"
"1915","January","10.1","1.0%","0.0%"
"1914","December","10.1","1.0%","-1.0%"
"1914","November","10.2","1.0%","1.0%"
"1914","October","10.1","1.0%","-1.0%"
"1914","September","10.2","2.0%","0.0%"
"1914","August","10.2","3.0%","2.0%"
"1914","July","10.0","1.0%","1.0%"
"1914","June","9.9","1.0%","0.0%"
"1914","May","9.9","2.1%","1.0%"
"1914","April","9.8","0.0%","-1.0%"
"1914","March","9.9","1.0%","0.0%"
"1914","February","9.9","1.0%","-1.0%"
"1914","January","10.0","2.0%","0.0%"
"1913","December","10.0","0.0%","-1.0%"
"1913","November","10.1","0.0%","1.0%"
"1913","October","10.0","0.0%","0.0%"
"1913","September","10.0","0.0%","1.0%"
"1913","August","9.9","0.0%","0.0%"
"1913","July","9.9","0.0%","1.0%"
"1913","June","9.8","0.0%","1.0%"
"1913","May","9.7","0.0%","-1.0%"
"1913","April","9.8","0.0%","0.0%"
"1913","March","9.8","0.0%","0.0%"
"1913","February","9.8","0.0%","0.0%"
"1913","January","9.8","0.0%","0.0%"
"Source: US Bureau of Labor Statistics"
